group_name,time_in_hours,absorbance,dilution_factor
G1,0.25,0.31,3
G1,0.5,0.77,3
G1,0.75,0.81,3
G1,1,0.51,4
G1,1.5,0.68,4
G1,2,0.8,4
G1,2.5,0.97,3
G1,3,0.99,3
G1,3.5,0.85,3
G1,4,0.81,2
G1,6,0.82,2
G1,7,0.68,2
G1,8,0.41,2
G1,10,0.52,2

