group_name,time_in_hours,absorbance,dilution_factor
G2_4AP_HNT,48,0.11856,1
G2_4AP_HNT,48,0.09988,1
G2_4AP_HNT,48,0.11265,1
G2_4AP_HNT,48,0.07787,1
G2_4AP_HNT,72,0.10688,1
G2_4AP_HNT,72,0.36494,1
G2_4AP_HNT,72,0.1254,1
G2_4AP_HNT,72,0.12546,1
G2_4AP_HNT,72,0.08986,1
G2_4AP_HNT,72,0.07999,1
G2_4AP_HNT,96,0.14284,1
G2_4AP_HNT,96,0.34392,1
G2_4AP_HNT,96,0.11121,1
G2_4AP_HNT,96,0.134536,1
G2_4AP_HNT,96,0.09363,1
G2_4AP_HNT,96,0.08565,1
G2_4AP_HNT,120,0.15768,1
G2_4AP_HNT,120,0.34019,1
G2_4AP_HNT,120,0.12752,1
G2_4AP_HNT,120,0.15112,1
G2_4AP_HNT,120,0.1224,1
G2_4AP_HNT,120,0.09192,1
G2_4AP_HNT,144,0.1932,1
G2_4AP_HNT,144,0.31974,1
G2_4AP_HNT,144,0.14034,1
G2_4AP_HNT,144,0.15272,1
G2_4AP_HNT,144,0.14417,1
G2_4AP_HNT,144,0.11397,1
G2_4AP_HNT,168,0.200628,1
G2_4AP_HNT,168,0.33489,1
G2_4AP_HNT,168,0.13668,1
G2_4AP_HNT,168,0.15962,1
G2_4AP_HNT,168,0.16828,1
G2_4AP_HNT,168,0.12711,1
G2_4AP_HNT,504,0.22605,1
G2_4AP_HNT,504,0.32534,1
G2_4AP_HNT,504,0.27378,1
G2_4AP_HNT,504,0.26066,1
G2_4AP_HNT,504,0.26483,1
G2_4AP_HNT,504,0.25992,1
G2_4AP_HNT,672,0.2659,1
G2_4AP_HNT,672,0.33735,1
G2_4AP_HNT,672,0.264454,1
G2_4AP_HNT,672,0.263731,1
G2_4AP_HNT,672,0.263008,1
G2_4AP_HNT,672,0.362285,1
G2_4AP_HNT,840,0.25179,1
G2_4AP_HNT,840,0.20859,1
G2_4AP_HNT,840,0.28327,1
G2_4AP_HNT,840,0.3072,1
G2_4AP_HNT,840,0.25628,1
G2_4AP_HNT,840,0.34867,1
G2_4AP_HNT,1008,0.324,1
G2_4AP_HNT,1008,0.293,1
G2_4AP_HNT,1008,0.254,1
G2_4AP_HNT,1008,0.343,1
G2_4AP_HNT,1008,0.336,1
G2_4AP_HNT,1008,0.355,1
G2_4AP_HNT,1176,0.326,1
G2_4AP_HNT,1176,0.453,1
G2_4AP_HNT,1176,0.279,1
G2_4AP_HNT,1176,0.333,1
G2_4AP_HNT,1176,0.271,1
G2_4AP_HNT,1176,0.328,1
G2_4AP_HNT,1344,0.2916,1
G2_4AP_HNT,1344,0.15861,1
G2_4AP_HNT,1344,0.27031,1
G2_4AP_HNT,1344,0.3104,1
G2_4AP_HNT,1344,0.30182,1
G2_4AP_HNT,1344,0.29412,1
G2_4AP_HNT,1512,0.29447,1
G2_4AP_HNT,1512,0.1869,1
G2_4AP_HNT,1512,0.23651,1
G2_4AP_HNT,1512,0.25468,1
G2_4AP_HNT,1512,0.23007,1
G2_4AP_HNT,1512,0.29834,1
G2_4AP_HNT,1680,0.22906,1
G2_4AP_HNT,1680,0.20333,1
G2_4AP_HNT,1680,0.22412,1
G2_4AP_HNT,1680,0.25933,1
G2_4AP_HNT,1680,0.23131,1
G2_4AP_HNT,1680,0.21056,1
G3_4AP_C,0.25,0.25966,1
G3_4AP_C,0.25,0.26744,1
G3_4AP_C,0.25,0.23772,1
G3_4AP_C,0.25,0.29775,1
G3_4AP_C,0.25,0.2432,1
G3_4AP_C,0.25,0.37929,1
G3_4AP_C,0.5,0.56353,1
G3_4AP_C,0.5,0.47811,1
G3_4AP_C,0.5,0.59652,1
G3_4AP_C,0.5,0.45183,1
G3_4AP_C,0.5,0.50277,1
G3_4AP_C,0.5,0.49307,1
G3_4AP_C,1,0.62527,1
G3_4AP_C,1,0.71643,1
G3_4AP_C,1,0.86189,1
G3_4AP_C,1,0.67748,1
G3_4AP_C,1,0.67011,1
G3_4AP_C,1,0.69549,1
G3_4AP_C,4,0.69306,1
G3_4AP_C,4,0.71365,1
G3_4AP_C,4,0.97633,1
G3_4AP_C,4,0.75325,1
G3_4AP_C,4,0.72645,1
G3_4AP_C,4,0.75633,1
G3_4AP_C,8,0.72111,1
G3_4AP_C,8,0.7167,1
G3_4AP_C,8,0.97633,1
G3_4AP_C,8,0.78909,1
G3_4AP_C,8,0.7597,1
G3_4AP_C,8,0.78307,1
G3_4AP_C,24,0.71355,1
G3_4AP_C,24,0.71403,1
G3_4AP_C,24,0.89654,1
G3_4AP_C,24,0.71633,1
G3_4AP_C,24,0.6856,1
G3_4AP_C,24,0.70148,1
G3_4AP_C,48,0.72108,1
G3_4AP_C,48,0.7217,1
G3_4AP_C,48,0.87821,1
